TransactionID,id_13
2987008,49.0
2987010,52.0
2987011,52.0
2987017,52.0
2987022,14.0
2987040,52.0
2987048,52.0
2987049,52.0
2987066,52.0
2987072,20.0
2987074,52.0
2987084,52.0
2987093,52.0
2987099,49.0
2987108,14.0
2987111,52.0
2987114,52.0
2987130,52.0
2987138,52.0
2987141,49.0
2987144,49.0
2987145,49.0
2987148,49.0
2987156,52.0
2987188,55.0
2987189,52.0
2987190,49.0
2987192,52.0
2987196,52.0
2987199,49.0
2987207,49.0
2987209,52.0
2987236,49.0
2987243,43.0
2987245,43.0
2987248,49.0
2987252,52.0
2987258,52.0
2987259,49.0
2987262,52.0
2987266,52.0
2987271,52.0
2987273,49.0
2987281,52.0
2987284,52.0
2987288,49.0
2987301,20.0
2987316,52.0
2987319,14.0
2987327,52.0
2987328,52.0
2987332,49.0
2987333,52.0
2987335,49.0
2987336,49.0
2987337,49.0
2987338,49.0
2987355,49.0
2987361,49.0
2987367,52.0
2987368,49.0
2987374,49.0
2987376,49.0
2987380,49.0
2987384,52.0
2987386,20.0
2987398,20.0
2987404,49.0
2987405,49.0
2987406,49.0
2987408,49.0
2987412,52.0
2987416,49.0
2987425,49.0
2987429,52.0
2987433,49.0
2987434,49.0
2987437,49.0
2987438,20.0
2987443,49.0
2987446,52.0
2987456,20.0
2987465,49.0
2987466,49.0
2987467,18.0
2987469,49.0
2987476,52.0
2987482,52.0
2987485,49.0
2987488,52.0
2987490,49.0
2987499,52.0
2987504,52.0
2987505,49.0
2987514,49.0
2987517,18.0
2987520,49.0
2987532,49.0
2987535,52.0
2987543,52.0
2987544,49.0
2987547,52.0
2987550,49.0
2987551,20.0
2987553,49.0
2987555,49.0
2987556,52.0
2987558,49.0
2987560,52.0
2987563,52.0
2987571,52.0
2987576,49.0
2987577,52.0
2987582,52.0
2987584,52.0
2987585,52.0
2987590,52.0
2987592,52.0
2987596,52.0
2987598,52.0
2987601,49.0
2987602,52.0
2987603,52.0
2987605,52.0
2987607,52.0
2987610,41.0
2987612,52.0
2987613,52.0
2987618,52.0
2987623,52.0
2987625,20.0
2987630,63.0
2987633,14.0
2987635,52.0
2987637,52.0
2987638,49.0
2987639,52.0
2987641,20.0
2987643,52.0
2987648,52.0
2987653,52.0
2987660,52.0
2987664,61.0
2987666,49.0
2987668,52.0
2987681,52.0
2987683,52.0
2987686,52.0
2987689,52.0
2987692,52.0
2987693,52.0
2987696,20.0
2987710,52.0
2987712,52.0
2987724,52.0
2987726,49.0
2987730,52.0
2987733,52.0
2987739,52.0
2987743,52.0
2987747,52.0
2987750,49.0
2987751,52.0
2987758,35.0
2987763,49.0
2987766,49.0
2987768,25.0
2987769,52.0
2987777,52.0
2987779,25.0
2987785,49.0
2987788,49.0
2987791,52.0
2987800,20.0
2987804,20.0
2987815,52.0
2987819,49.0
2987820,39.0
2987821,49.0
2987828,52.0
2987829,52.0
2987831,49.0
2987834,52.0
2987838,52.0
2987839,39.0
2987844,52.0
2987847,49.0
2987849,52.0
2987850,52.0
2987853,39.0
2987854,52.0
2987857,49.0
2987862,52.0
2987868,52.0
2987869,20.0
2987872,20.0
2987873,52.0
2987886,49.0
2987887,49.0
2987893,20.0
2987895,61.0
2987901,49.0
2987912,20.0
2987917,20.0
2987926,52.0
2987929,52.0
2987951,52.0
2987964,20.0
2987968,49.0
2987972,20.0
2987989,52.0
2988008,52.0
2988015,49.0
2988018,49.0
2988021,49.0
2988028,52.0
2988033,52.0
2988038,52.0
2988062,57.0
2988064,57.0
2988080,52.0
2988140,18.0
2988166,25.0
2988170,49.0
2988171,52.0
2988177,52.0
2988182,52.0
2988192,20.0
2988204,49.0
2988209,52.0
2988211,52.0
2988221,52.0
2988246,49.0
2988257,52.0
2988267,52.0
2988304,52.0
2988308,49.0
2988311,52.0
2988312,52.0
2988325,14.0
2988339,52.0
2988340,49.0
2988342,49.0
