TransactionID,id_35
2987004,T
2987008,T
2987010,F
2987011,F
2987016,T
2987017,T
2987038,T
2987040,F
2987048,F
2987049,F
2987057,T
2987066,T
2987069,T
2987070,T
2987072,F
2987074,F
2987084,F
2987093,T
2987099,T
2987100,T
2987101,T
2987104,T
2987105,F
2987111,F
2987114,F
2987119,T
2987121,T
2987125,T
2987130,F
2987138,T
2987141,T
2987144,T
2987145,T
2987148,T
2987156,T
2987167,T
2987173,T
2987183,T
2987188,T
2987189,F
2987190,F
2987192,F
2987196,F
2987197,T
2987198,T
2987199,F
2987207,T
2987209,F
2987211,T
2987236,T
2987240,F
2987243,F
2987245,F
2987248,T
2987252,F
2987258,F
2987259,F
2987262,F
2987265,T
2987266,F
2987270,T
2987271,T
2987273,T
2987275,T
2987281,T
2987284,F
2987287,F
2987288,F
2987301,F
2987311,T
2987316,F
2987327,T
2987328,F
2987332,T
2987333,T
2987335,T
2987336,T
2987337,T
2987338,T
2987352,F
2987355,T
2987361,T
2987366,T
2987367,T
2987368,F
2987374,T
2987376,T
2987380,F
2987384,F
2987386,F
2987387,T
2987389,T
2987390,T
2987398,F
2987404,T
2987405,F
2987406,T
2987408,T
2987412,F
2987416,T
2987425,T
2987429,F
2987433,T
2987434,T
2987435,T
2987437,T
2987438,F
2987439,F
2987443,F
2987446,T
2987449,T
2987455,T
2987456,F
2987457,T
2987461,T
2987462,T
2987463,T
2987465,F
2987466,T
2987467,T
2987469,T
2987476,F
2987482,T
2987485,T
2987488,F
2987489,F
2987490,T
2987499,F
2987501,F
2987504,T
2987505,T
2987508,T
2987514,T
2987515,T
2987517,F
2987520,T
2987521,T
2987523,T
2987524,T
2987528,T
2987529,T
2987531,T
2987532,T
2987535,F
2987543,T
2987544,T
2987547,F
2987550,F
2987551,F
2987552,T
2987553,F
2987555,T
2987556,F
2987558,T
2987560,F
2987563,T
2987571,F
2987576,T
2987577,F
2987579,F
2987582,T
2987584,F
2987585,T
2987590,T
2987592,F
2987596,F
