TransactionID,id_37
2987004,T
2987008,F
2987010,T
2987011,T
2987016,T
2987017,T
2987038,T
2987040,T
2987048,T
2987049,T
2987057,T
2987066,T
2987069,T
2987070,T
2987072,T
2987074,T
2987084,T
2987093,T
2987099,T
2987100,T
2987101,T
2987104,T
2987105,T
2987111,T
2987114,T
2987119,T
2987121,T
2987125,T
2987130,T
2987138,T
2987141,F
2987144,F
2987145,F
2987148,F
2987156,T
2987167,T
2987173,T
2987183,T
2987188,T
2987189,T
2987190,F
2987192,T
2987196,T
2987197,T
2987198,T
2987199,F
2987207,F
2987209,T
2987211,T
2987236,F
2987240,T
2987243,T
2987245,T
2987248,F
2987252,T
2987258,T
2987259,F
2987262,T
2987265,T
2987266,T
2987270,T
2987271,T
2987273,F
2987275,T
2987281,T
2987284,T
2987287,T
2987288,F
2987301,T
2987311,T
2987316,T
2987327,T
2987328,T
2987332,T
2987333,T
2987335,T
2987336,T
2987337,F
2987338,T
2987352,T
2987355,T
2987361,T
2987366,T
2987367,T
2987368,F
2987374,T
2987376,F
2987380,F
2987384,T
2987386,T
2987387,T
2987389,T
2987390,T
2987398,T
2987404,F
2987405,F
2987406,F
2987408,F
2987412,T
2987416,F
2987425,F
2987429,T
2987433,F
2987434,F
2987435,T
2987437,F
2987438,T
2987439,T
2987443,F
2987446,T
2987449,T
2987455,T
2987456,T
2987457,T
2987461,T
2987462,T
2987463,T
2987465,F
2987466,F
2987467,T
2987469,F
2987476,T
2987482,T
2987485,F
2987488,T
2987489,T
2987490,F
2987499,T
2987501,T
2987504,T
2987505,F
2987508,T
2987514,T
2987515,T
2987517,T
2987520,F
2987521,T
2987523,T
2987524,T
2987528,T
2987529,T
2987531,T
2987532,F
2987535,T
2987543,T
2987544,F
2987547,T
2987550,F
2987551,T
2987552,T
2987553,F
2987555,F
2987556,T
2987558,T
2987560,T
2987563,T
2987571,T
2987576,F
2987577,T
2987579,T
2987582,T
2987584,T
2987585,T
2987590,T
2987592,T
2987596,T
2987598,T
2987601,F
2987602,T
2987603,T
2987605,T
2987607,T
2987608,T
2987610,T
2987612,T
2987613,T
2987617,T
2987618,T
2987620,T
2987621,T
2987623,T
2987625,T
2987630,F
2987635,T
2987637,T
2987638,F
2987639,T
2987641,T
2987643,T
2987648,T
2987653,T
2987660,T
2987664,T
2987666,F
2987668,T
2987672,T
2987681,T
2987683,T
2987686,T
2987689,T
2987692,T
2987693,T
2987694,T
2987696,T
2987698,T
2987710,T
2987712,T
2987718,T
2987724,T
2987726,F
2987730,T
2987732,T
2987733,T
2987739,T
2987741,T
2987743,T
2987746,T
2987747,T
2987748,T
2987750,F
2987751,T
2987752,T
2987754,T
2987758,T
2987763,F
2987766,T
2987768,T
2987769,T
2987771,T
2987774,T
2987777,T
2987779,T
2987780,T
